Scenario,Reference,Baseline,Pairs,ramp95_kw_per_min_delta_mean,ramp95_kw_per_min_wins,ramp95_kw_per_min_ties,ramp95_kw_per_min_losses,cap_violation_pct_total_delta_mean,cap_violation_pct_total_wins,cap_violation_pct_total_ties,cap_violation_pct_total_losses,throughput_kwh_delta_mean,throughput_kwh_wins,throughput_kwh_ties,throughput_kwh_losses,lfp_cycle_loss_pct_delta_mean,lfp_cycle_loss_pct_wins,lfp_cycle_loss_pct_ties,lfp_cycle_loss_pct_losses,idod_delta_mean,idod_wins,idod_ties,idod_losses,flip_per_day_delta_mean,flip_per_day_wins,flip_per_day_ties,flip_per_day_losses,all4_nonworse_count
cloud_edge,Proposed,NC,2,-0.07177772283093375,2,0,0,-1.8749999999999998,2,0,0,0.7219729283625126,0,0,2,6.800214298534771e-05,0,0,2,2.4096024120466943e-05,0,0,2,24.0,0,0,2,0
cloud_edge,Proposed,GR,2,0.0,0,2,0,0.0,0,2,0,0.05027431698206393,0,0,2,2.5733522073472417e-06,0,0,2,2.6837239326366454e-06,0,0,2,0.0,0,2,0,0
cloud_edge,Proposed,RS,2,5.82043946888829,0,0,2,-1.1805555555555556,1,1,0,-34.91111224534562,2,0,0,-0.002339334436199987,2,0,0,-0.0008211559992326095,2,0,0,-541.0,2,0,0,0
cloud_edge,Proposed,FBRL,2,6.477611489661781,0,0,2,0.0,0,2,0,-33.29608187472335,2,0,0,-0.0021591499463860355,2,0,0,-0.000989115523777416,2,0,0,-503.0,2,0,0,0
cloud_edge,Proposed,MPC_best_ramp,2,-0.06506346069634361,2,0,0,-1.111111111111111,2,0,0,-0.06399212904003646,1,0,1,9.914684546997965e-06,0,0,2,-4.2266596877787475e-05,1,0,1,-55.0,2,0,0,1
cloud_edge,Proposed,MPC_best_balanced,2,-0.06506346069634361,2,0,0,-1.111111111111111,2,0,0,-0.06399212904003646,1,0,1,9.914684546997965e-06,0,0,2,-4.2266596877787475e-05,1,0,1,-55.0,2,0,0,1
load_step,Proposed,NC,2,-0.19800409395795793,1,1,0,-2.2916666666666665,1,1,0,1.0371801311492508,0,1,1,9.29311082281397e-05,0,1,1,5.829787918750276e-05,0,1,1,26.0,0,1,1,1
load_step,Proposed,GR,2,0.0,0,2,0,0.0,0,2,0,0.0808097771683226,0,1,1,-3.4554858832855237e-06,1,1,0,5.398989661557882e-06,0,1,1,-2.0,1,1,0,1
load_step,Proposed,RS,2,6.158132500907959,0,0,2,-1.7361111111111112,1,1,0,-34.51067183309303,2,0,0,-0.002306449459508221,2,0,0,-0.000749881628424642,2,0,0,-539.0,2,0,0,0
load_step,Proposed,FBRL,2,6.538472248317531,0,0,2,0.0,0,2,0,-32.69963023904938,2,0,0,-0.0021396399090731675,2,0,0,-0.0008737161493760752,2,0,0,-513.0,2,0,0,0
load_step,Proposed,MPC_best_ramp,2,-0.18870893839089842,1,1,0,-1.5277777777777777,1,1,0,-0.011059974048128206,2,0,0,1.4962746646747817e-05,1,0,1,-6.18685673227023e-05,2,0,0,-37.0,2,0,0,2
load_step,Proposed,MPC_best_balanced,2,-0.18870893839089842,1,1,0,-1.5277777777777777,1,1,0,-0.011059974048128206,2,0,0,1.4962746646747817e-05,1,0,1,-6.18685673227023e-05,2,0,0,-37.0,2,0,0,2
mixed,Proposed,NC,2,-0.09932972952370367,1,1,0,-1.6666666666666667,1,1,0,0.618266732486928,0,1,1,5.30471283846592e-05,0,1,1,3.348828433904834e-05,0,1,1,20.0,0,1,1,1
mixed,Proposed,GR,2,0.0,0,2,0,0.0,0,2,0,0.056497917847638135,0,1,1,-1.1033627705864237e-05,1,1,0,-5.526734649589122e-06,1,1,0,-4.0,1,1,0,1
mixed,Proposed,RS,2,6.240053200132337,0,0,2,-1.1111111111111112,1,1,0,-35.566743788787136,2,0,0,-0.0024029788978266356,2,0,0,-0.0008003069639637734,2,0,0,-549.0,2,0,0,0
mixed,Proposed,FBRL,2,6.6651704246412695,0,0,2,0.0,0,2,0,-33.540684820999346,2,0,0,-0.0021970793497036703,2,0,0,-0.0009068880730348794,2,0,0,-509.0,2,0,0,0
mixed,Proposed,MPC_best_ramp,2,-0.09916585036157155,1,1,0,-1.1805555555555556,1,1,0,0.010868933666521363,1,0,1,8.332059848206348e-06,1,0,1,-6.5815682491579125e-06,2,0,0,-51.0,2,0,0,1
mixed,Proposed,MPC_best_balanced,2,-0.09916585036157155,1,1,0,-1.1805555555555556,1,1,0,0.010868933666521363,1,0,1,8.332059848206348e-06,1,0,1,-6.5815682491579125e-06,2,0,0,-51.0,2,0,0,1
wind_gust,Proposed,NC,2,-0.14940041297462514,1,1,0,-1.6666666666666667,1,1,0,0.8435304894480677,0,1,1,8.936203380367013e-05,0,1,1,8.392192096325044e-05,0,1,1,20.0,0,1,1,1
wind_gust,Proposed,GR,2,-0.003100824920805323,1,1,0,0.0,0,2,0,0.122017098686796,0,1,1,9.375769645140735e-06,0,1,1,2.2948371240123452e-05,0,1,1,-2.0,1,1,0,1
wind_gust,Proposed,RS,2,6.461640355021501,0,0,2,-1.3194444444444444,1,1,0,-37.88879233785845,2,0,0,-0.002571566113699829,2,0,0,-0.0009572020647425839,2,0,0,-506.0,2,0,0,0
wind_gust,Proposed,FBRL,2,6.861623915382667,0,0,2,0.0,0,2,0,-35.6859469973071,2,0,0,-0.002213435821926019,2,0,0,-0.0010007403893649508,2,0,0,-489.0,2,0,0,0
wind_gust,Proposed,MPC_best_ramp,2,-0.013253100178064692,1,0,1,-1.1805555555555556,1,1,0,0.0759571336412607,1,0,1,3.263964057312313e-05,1,0,1,1.9448612504268127e-05,1,0,1,-54.0,2,0,0,0
wind_gust,Proposed,MPC_best_balanced,2,-0.013253100178064692,1,0,1,-1.1805555555555556,1,1,0,0.0759571336412607,1,0,1,3.263964057312313e-05,1,0,1,1.9448612504268127e-05,1,0,1,-54.0,2,0,0,0
