controller,reference_type,weight_label,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,resilience_score,soc_band_residency,throughput_kwh,efc,lfp_cycle_loss_pct,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,0,cloud_edge_seed0,0,9.085729598260176,1.1111111111111112,0.0,1.1111111111111112,100.0,1.0,1.460493470883527,0.007302467354417636,0.00010786378157014506,0.0,0.0,0.002042845862929594,0.0,0.00768652804585393,0.00011800868929582541,5.0,0.4166666666666667,10.0,342.04537222200696,1169.2337999702431,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,1,cloud_edge_seed1,0,9.612331276040422,0.5555555555555556,0.0,0.5555555555555556,100.0,1.0,0.5843502675511004,0.002921751337755502,4.272000469155912e-05,0.0,0.0,8.098386885447926e-05,0.0,0.003075495487586538,1.8910302899764075e-05,5.0,0.4166666666666667,10.0,318.9676325689409,1180.7207000092603,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,2,cloud_edge_seed2,0,9.696933562989296,2.430555555555556,0.0,2.430555555555556,100.0,1.0,10.873910643818698,0.054369553219093494,0.0008945394697102922,0.0,0.0,0.028528960590902035,0.0,0.0572305885177401,0.0065485497401714995,5.5,0.5,12.0,398.1423234012052,1255.2141000051051,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,3,cloud_edge_seed3,0,8.918382250578189,3.3333333333333335,0.0,3.3333333333333335,100.0,1.0,14.076988476549836,0.07038494238274919,0.0011992348033203794,0.0,0.0,0.038403882450515944,0.0,0.07407636928518835,0.0109429198832227,20.5,1.75,42.0,966.9779356250526,1174.2856000200845,"{'[0.0,0.1)': 20.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,4,cloud_edge_seed4,0,9.191746605486019,0.625,0.0,0.625,100.0,1.0,2.3862619450112588,0.011931309725056294,0.00017810920149383277,0.0,0.0,0.0025641885124478184,0.0,0.012556685148516294,0.0003147014851987249,8.5,0.75,18.0,805.4476902084893,1211.0247000236996,"{'[0.0,0.1)': 9.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,0,load_step_seed0,0,8.890349884602914,3.888888888888889,0.0,3.888888888888889,100.0,1.0,18.262953484600864,0.09131476742300432,0.0016259691992378347,0.0,0.0,0.05706789098518712,0.0,0.09612006566641221,0.018474714517523954,9.5,0.8333333333333334,20.0,953.8728102782948,1219.456800026819,"{'[0.0,0.1)': 9.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,1,load_step_seed1,0,9.319597967136739,3.4722222222222223,0.0,3.4722222222222223,100.0,1.0,18.08856854783651,0.09044284273918254,0.0016075758125448272,0.0,0.0,0.055285178628189054,0.0,0.0952009709145965,0.01811243503767058,12.5,1.0833333333333333,26.0,997.8788143054569,1261.6666000103578,"{'[0.0,0.1)': 12.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,2,load_step_seed2,0,9.51077278823305,3.125,0.0,3.125,100.0,1.0,17.841037300467743,0.08920518650233872,0.0015816505874571428,0.0,0.0,0.053138401221931794,0.0,0.0939000088128126,0.01763372129354044,3.5,0.3333333333333333,8.0,941.3642814572086,1228.3439000020735,"{'[0.0,0.1)': 3.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,3,load_step_seed3,0,9.290231985175243,1.875,0.0,1.875,100.0,1.0,6.938667057550862,0.03469333528775431,0.0005459388536358969,0.0,0.0,0.00902849057072077,0.0,0.036518403361918333,0.0026648259527885625,11.5,1.0,24.0,976.0016055553327,1281.5480999997817,"{'[0.0,0.1)': 12.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,4,load_step_seed4,0,8.991262644085728,1.5277777777777777,0.0,1.5277777777777777,100.0,1.0,5.6696850613168355,0.028348425306584178,0.0004395562514120957,0.0,0.0,0.013637196659177994,0.0,0.02983715904803072,0.0017742074866132342,11.5,1.0,24.0,843.9986072922087,1193.485600000713,"{'[0.0,0.1)': 12.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,0,mixed_seed0,0,9.117834314840842,1.6666666666666667,0.0,1.6666666666666667,100.0,1.0,3.986453254535065,0.019932266272675324,0.0003031384859265566,0.0,0.0,0.005018757764209957,0.0,0.020979151307523924,0.0008768774700056594,13.5,1.1666666666666667,28.0,810.4525761804931,1224.0530999843031,"{'[0.0,0.1)': 14.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,1,mixed_seed1,0,9.543129986508935,0.3472222222222222,0.0,0.3472222222222222,100.0,1.0,0.3232489797716707,0.0016162448988583536,2.3560153971590006e-05,0.0,0.0,1.4212966861670127e-05,0.0,0.0017013098936723148,5.788859605637014e-06,3.0,0.25,6.0,87.10924888926255,1162.5903000240214,"{'[0.0,0.1)': 3.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,2,mixed_seed2,0,9.641752320739363,1.9444444444444444,0.0,1.9444444444444444,100.0,1.0,10.797317069282588,0.053986585346412944,0.0008874859696968501,0.0,0.0,0.02991698317622465,0.0,0.056826360315469865,0.006451689319639404,5.5,0.5,12.0,380.97413319406365,1190.8325999975204,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,3,mixed_seed3,0,8.534535909720535,2.2916666666666665,0.0,2.2916666666666665,100.0,1.0,9.02923169748525,0.045146158487426244,0.000727532316281785,0.0,0.0,0.02083752912205188,0.0,0.047520948781382966,0.004513242645532283,10.5,0.9166666666666666,22.0,986.8923175691938,1256.222299998626,"{'[0.0,0.1)': 11.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,4,mixed_seed4,0,9.169357829498148,0.7638888888888888,0.0,0.7638888888888888,100.0,1.0,1.5598212209538895,0.0077991061047694476,0.00011533480206950131,0.0,0.0,0.0009336994067526056,0.0,0.008209398508663202,0.0001346770112765151,7.0,0.5833333333333334,14.0,302.89507638893457,1171.3765999884345,"{'[0.0,0.1)': 7.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,0,wind_gust_seed0,0,9.346268371056247,0.2777777777777778,0.0,0.2777777777777778,100.0,1.0,0.9096415233851992,0.004548207616925996,6.675426364745104e-05,0.0,0.0,5.40673606209236e-06,0.0,0.0047875797599966075,4.5840323701620015e-05,3.0,0.25,6.0,297.71654215300157,1183.873100031633,"{'[0.0,0.1)': 3.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,1,wind_gust_seed1,0,9.761570834547495,0.1388888888888889,0.0,0.1388888888888889,100.0,1.0,0.10624277077885111,0.0005312138538942555,7.625277472177839e-06,0.0,0.0,1.72626472483426e-10,0.0,0.0005520509638792526,5.954902001711398e-07,2.0,0.16666666666666666,4.0,28.861423473548104,1116.2520000361837,"{'[0.0,0.1)': 2.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,2,wind_gust_seed2,0,10.300598373310375,1.4583333333333333,0.0,1.4583333333333333,100.0,1.0,9.150318611065199,0.045751593055325994,0.0007383025386711501,0.0,0.0,0.02074995922855664,0.0,0.04815739271101746,0.004630553783370493,10.5,0.9166666666666666,22.0,395.7216356245529,1210.5386999901384,"{'[0.0,0.1)': 11.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,3,wind_gust_seed3,0,9.587776442499834,1.875,0.0,1.875,100.0,1.0,6.90357777586233,0.03451788887931165,0.000542906635864204,0.0,0.0,0.014432477550398125,0.0,0.036332356749923134,0.00263404793362528,13.5,1.1666666666666667,28.0,978.8227943747593,1177.778999961447,"{'[0.0,0.1)': 14.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,4,wind_gust_seed4,0,10.175015157207126,0.3472222222222222,0.0,0.3472222222222222,100.0,1.0,1.2011431152931817,0.006005715576465909,8.843971044071747e-05,0.0,0.0,4.918574916507565e-05,0.0,0.006321448434323335,7.975558876291292e-05,5.0,0.4166666666666667,10.0,303.35187861100064,1188.10529995244,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,cloud_edge,0,cloud_edge_seed0,0,9.085729598260176,1.5277777777777777,0.0,1.5277777777777777,100.0,1.0,0.8723875433572923,0.0043619377167864615,6.399249197234236e-05,0.0,0.0,6.966878472183497e-05,0.0,0.004591500924348069,4.2159859173846666e-05,16.5,1.375,33.0,177.17160340394508,1112.4416000093333,"{'[0.0,0.1)': 16.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,cloud_edge,1,cloud_edge_seed1,0,9.582567467546722,0.7638888888888888,0.0,0.7638888888888888,100.0,1.0,0.3546272081017309,0.0017731360405086544,2.5856609492803766e-05,0.0,0.0,2.8567600636338805e-08,0.0,0.0018664570251669954,6.9672048836806765e-06,9.5,0.7916666666666666,19.0,85.98000458368915,1141.9520999770612,"{'[0.0,0.1)': 9.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,cloud_edge,2,cloud_edge_seed2,0,9.67644330357038,4.375,0.0,4.375,100.0,1.0,9.07274107830972,0.0453637053915486,0.0007314464746216962,0.0,0.0,0.02297972812863492,0.0,0.04775126507631228,0.004560355242405101,10.5,0.875,21.0,278.8163552781043,1158.1410999642685,"{'[0.0,0.1)': 11.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,cloud_edge,3,cloud_edge_seed3,0,8.809739214962718,6.111111111111111,0.0,6.111111111111111,100.0,1.0,11.765956505615295,0.058829782528076476,0.0009776025437062148,0.0,0.0,0.034191064801609404,0.0,0.0619258819620655,0.007669464904423749,19.0,1.625,39.0,599.1940265979792,1146.4915999677032,"{'[0.0,0.1)': 19.0, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,cloud_edge,4,cloud_edge_seed4,0,9.19174660457959,1.5277777777777777,0.0,1.5277777777777777,100.0,1.0,1.4639933548723647,0.007319966774361824,0.00010811783861584876,0.0,0.0,4.773146398686188e-05,0.0,0.007704353564930877,0.00011821609211691786,13.5,1.125,27.0,345.2761820143577,1121.8433000030927,"{'[0.0,0.1)': 13.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,load_step,0,load_step_seed0,0,8.845342434223983,6.666666666666667,0.0,6.666666666666667,100.0,1.0,15.547424195361877,0.07773712097680939,0.0013458630802696317,0.0,0.0,0.05599392411305252,0.0,0.0818285230551569,0.013391674043962317,18.5,1.5416666666666667,37.0,599.033389236259,1228.1793000292964,"{'[0.0,0.1)': 18.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,load_step,1,load_step_seed1,0,9.278601242216405,7.291666666666667,0.0,7.291666666666667,100.0,1.0,15.572106111273664,0.07786053055636832,0.0013483469181030116,0.0,0.0,0.054724573547923316,0.0,0.0819582825787559,0.013433290576328251,19.5,1.6666666666666667,40.0,637.916602221877,1154.5904999948107,"{'[0.0,0.1)': 19.5, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,load_step,2,load_step_seed2,0,9.352024901656707,6.875000000000001,0.0,6.875000000000001,100.0,1.0,14.852756223372337,0.07426378111686169,0.0012762628348524793,0.0,0.0,0.05058152797926299,0.0,0.07817229689035135,0.012221592527002088,11.0,0.9583333333333334,23.0,498.43648611086894,1153.7156999693252,"{'[0.0,0.1)': 11.0, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.1_0.01_0.001,OraclePreview,0.1|0.01|0.001,load_step,3,load_step_seed3,0,9.221001748113032,3.194444444444444,0.0,3.194444444444444,100.0,1.0,5.751345492017596,0.02875672746008798,0.00044642546545418824,0.0,0.0,0.002571742407445025,0.0,0.030270198855162467,0.0018324814988376992,18.0,1.5416666666666667,37.0,519.4972213188319,1229.156699962914,"{'[0.0,0.1)': 18.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
